epoch,head,left_ear,loss,lr,nose,right_ear,spine1,spine2,spine3,spine4,val_head,val_left_ear,val_loss,val_nose,val_right_ear,val_spine1,val_spine2,val_spine3,val_spine4
0,0.0016206983709707856,0.001623060554265976,0.0016080134082585573,1e-04,0.0015186585951596498,0.0017106186132878065,0.001608977559953928,0.0015846327878534794,0.0015685424441471696,0.0016289177583530545,0.0015602054772898555,0.0015924811596050858,0.0015289983712136745,0.0015848147450014949,0.0015877302503213286,0.0014797726180404425,0.001422331901267171,0.0014287079684436321,0.0015759434318169951
1,0.0015186832752078772,0.0015529972733929753,0.0014823434175923467,1e-04,0.0014766363892704248,0.0015590921975672245,0.0014290199615061283,0.0013526038965210319,0.001410587690770626,0.0015591249102726579,0.0014804282691329718,0.0015232819132506847,0.0014440250815823674,0.0015605386579409242,0.0015199293848127127,0.0013611646136268973,0.0012466810876503587,0.0013448254903778434,0.0015153504209592938
2,0.001418640953488648,0.0014959543477743864,0.0013713556108996272,1e-04,0.0014594952808693051,0.0014944702852517366,0.0013264805311337113,0.0009676607442088425,0.0013019568286836147,0.0015061881858855486,0.0013097336050122976,0.0014945751754567027,0.0012881522998213768,0.0015284739201888442,0.0014607708435505629,0.0013118053320795298,0.0004654063086491078,0.0012662250082939863,0.0014682296896353364
3,0.0012796565424650908,0.0014467999571934342,0.0012216884642839432,1e-04,0.0014181963633745909,0.0014523044228553772,0.0012692591408267617,0.00023029932344798,0.0012313909828662872,0.0014456008793786168,0.0011301137274131179,0.0014196409611031413,0.001174722332507372,0.0014140945859253407,0.001421384047716856,0.0012450956273823977,0.00012096655700588599,0.00123587844427675,0.001410606550052762
4,0.0011061186669394374,0.00138314557261765,0.0011357011971995234,1e-04,0.0013137301430106163,0.0013981919037178159,0.0011953202774748206,9.795504593057558e-05,0.0011772547150030732,0.0014138935366645455,0.0010659467661753297,0.001383234397508204,0.0011206885101273656,0.001312545035034418,0.0013733304804190993,0.0011752090649679303,7.450125849572942e-05,0.0011788245756179094,0.0014019161462783813
5,0.0010226848535239697,0.001347712124697864,0.0011015554191544652,1e-04,0.001256298623047769,0.0013587969588115811,0.0011724651558324695,0.00010012968414230272,0.001169000519439578,0.0013853578129783273,0.00090309715596959,0.0013165581040084362,0.0010742342565208673,0.0012580748880282044,0.001311061903834343,0.0011373352026566863,0.00012218975462019444,0.0011759763583540916,0.0013695801608264446
6,0.0009431823273189366,0.0012910423101857305,0.0010477137984707952,1e-04,0.001165643334388733,0.001302248565480113,0.0011283131316304207,8.902409172151238e-05,0.0011333244619891047,0.0013289301423355937,0.0008124617161229253,0.0012399954721331596,0.0009949018713086843,0.0011357793118804693,0.00124703801702708,0.001081072143279016,7.322158489841968e-05,0.0010896921157836914,0.0012799549149349332
7,0.0008793581509962678,0.0012330759782344103,0.0009875540854409337,1e-04,0.0010954212630167603,0.0012453804956749082,0.001079109264537692,9.258714271709323e-05,0.0010373727418482304,0.0012381271226331592,0.0007739182328805327,0.0011878430377691984,0.0009435826796106994,0.0010658971732482314,0.0011828967835754156,0.0010604714043438435,0.00013543768727686256,0.0009743901900947094,0.0011678066803142428
8,0.0008474155329167843,0.0011952557833865285,0.0009349061292596161,1e-04,0.0010225597070530057,0.0011767338728532195,0.0010263831354677677,8.366350084543228e-05,0.0009718079818412662,0.0011554337106645107,0.0008081754203885794,0.0011549470946192741,0.0008852746686898172,0.0010322484886273742,0.0011063767597079277,0.0009392938227392733,8.518163667758927e-05,0.0008944966830313206,0.0010614778148010373
9,0.0008364665554836392,0.0011452839244157076,0.0008883567061275244,1e-04,0.000990309868939221,0.0011233653640374541,0.0009622744983062148,8.672901458339766e-05,0.0008928395109251142,0.001069584395736456,0.0007218512473627925,0.0010678726248443127,0.000807819189503789,0.0009457939304411411,0.001017688075080514,0.0008595421095378697,8.860236994223669e-05,0.0007831409457139671,0.0009780616965144873
10,0.0008194681140594184,0.0010846636723726988,0.0008409637957811356,1e-04,0.0009446775075048208,0.0010414811549708247,0.000886918103788048,8.267388329841197e-05,0.000848687079269439,0.0010191434994339943,0.0007360437302850187,0.0009917638963088393,0.0007618815288878977,0.0009366150479763746,0.0009230863652192056,0.0007347437203861773,9.254243195755407e-05,0.0007329817744903266,0.0009472754318267107
11,0.0007715589017607272,0.0009699956863187253,0.0007685119635425508,1e-04,0.0009048283100128174,0.0009370257030241191,0.000779459485784173,8.662042819196358e-05,0.000759151007514447,0.0009394566877745092,0.0007231771596707404,0.0008710420806892216,0.0007134925108402967,0.0009088286897167563,0.000848127412609756,0.000640910875517875,9.747080184752122e-05,0.0007074596942402422,0.0009109233506023884
12,0.0007596546201966703,0.0009031952358782291,0.0007318723946809769,1e-04,0.0008839326328597963,0.0008896462386474013,0.0007230329792946577,8.954103395808488e-05,0.0007098593050613999,0.0008961177663877606,0.0007112891762517393,0.0008528451435267925,0.0006986529333516955,0.0008672399562783539,0.0008410672307945788,0.0007478321786038578,8.674387936480343e-05,0.0006699662189930677,0.0008122397121042013
13,0.0007486087852157652,0.000857864913996309,0.0006974235293455422,1e-04,0.0008561231661587954,0.0008557258406654,0.0006638072663918138,8.054373029153794e-05,0.0006570155383087695,0.0008596983388997614,0.0007076803594827652,0.0007896609022282064,0.0006475204136222601,0.0008400434744544327,0.0008010896854102612,0.0005751337739638984,6.939940067240968e-05,0.0005965626914985478,0.0008005924173630774
14,0.0007143050897866488,0.0008177306735888124,0.0006658750935457647,1e-04,0.0008227195357903838,0.0008140389691106975,0.0006179878255352378,7.328044739551842e-05,0.0006320906686596572,0.0008348473929800093,0.000645184947643429,0.0007516730693168938,0.000608267670031637,0.0007790797390043736,0.0007593189366161823,0.0005446674185805023,7.276293763425201e-05,0.0005812363815493882,0.0007322177407331765
15,0.000692686764523387,0.0007857847958803177,0.000641600345261395,1e-04,0.0007900153286755085,0.0007863472565077245,0.0005833315080963075,7.173457561293617e-05,0.0005969604244455695,0.0008259444730356336,0.0006437305128201842,0.0007195029174908996,0.0005843497347086668,0.0007893305155448616,0.000695244234520942,0.0005159369320608675,7.45393117540516e-05,0.0005133849335834384,0.0007231285562738776
16,0.0006739582167938352,0.0007645940058864653,0.0006197791080921888,1e-04,0.000772035273257643,0.000772411294747144,0.0005589047796092927,7.099291542544961e-05,0.0005569237982854247,0.0007884142687544227,0.0005954200169071555,0.000676372554153204,0.000541405810508877,0.0007409222307614982,0.0006508704973384738,0.00044560397509485483,0.00010918662883341312,0.0004643028660211712,0.0006485679186880589
17,0.0006531742983497679,0.0007347999489866197,0.0005973480874672532,1e-04,0.0007467478280887008,0.0007396109285764396,0.0005211510579101741,7.080367504386231e-05,0.0005436352803371847,0.0007688619079999626,0.0005901039112359285,0.0006623661029152572,0.0005305300001055002,0.0007112793973647058,0.000665325322188437,0.00043562863720580935,6.720823876094073e-05,0.00046105022192932665,0.0006512783584184945
18,0.0006319707026705146,0.0007165831048041582,0.0005741709028370678,1e-04,0.0007194451172836125,0.0007109887083061039,0.0004998757503926754,6.708854925818741e-05,0.0005131946527399123,0.0007342206663452089,0.000578198756556958,0.0006476482376456261,0.0005324274534359574,0.000725886900909245,0.000657041382510215,0.00043324552825652063,6.471818778663874e-05,0.0004475205496419221,0.0007051604916341603
19,0.0006362548447214067,0.00071185507113114,0.0005772094009444118,1e-04,0.0007194585632532835,0.0007188916788436472,0.0004970666486769915,7.090598955983296e-05,0.0005212703254073858,0.0007419734611175954,0.0006042459863238037,0.000675332616083324,0.0005375465261749923,0.0006989133544266224,0.0006644917302764952,0.000448558566858992,7.775334233883768e-05,0.00046832056250423193,0.0006627555703744292
20,0.0006269793957471848,0.0007069314015097916,0.0005624581244774163,1e-04,0.0007002099882811308,0.00070237583713606,0.00048025534488260746,6.62429301883094e-05,0.0004940546932630241,0.000722617085557431,0.0005934573709964752,0.0006485360790975392,0.0005162254092283547,0.000681476725731045,0.0006412446382455528,0.0004180117975920439,6.453026435337961e-05,0.00044862841605208814,0.0006339177489280701
21,0.0005893006455153227,0.0006663274834863842,0.0005301015335135162,1e-04,0.0006584033253602684,0.0006675925687886775,0.00044728227658197284,6.550471880473197e-05,0.00046297788503579795,0.0006834230734966695,0.0005401826929301023,0.0006137831951491535,0.00047541374806314707,0.0006297017098404467,0.0006019025458954275,0.00037434359546750784,6.627800757996738e-05,0.0003995716106146574,0.0005775470053777099
22,0.0005937078385613859,0.0006672629970125854,0.0005370794679038227,1e-04,0.0006691461894661188,0.0006653012242168188,0.00046393609954975545,6.461274460889399e-05,0.0004717170086223632,0.0007009516120888293,0.0005419380031526089,0.0006281633395701647,0.0004840311885345727,0.0006147424574010074,0.0006067384965717793,0.000424919999204576,8.148892084136605e-05,0.0004085082618985325,0.0005657495930790901
23,0.0005755325546488166,0.0006532628322020173,0.0005160660948604345,1e-04,0.0006342155975289643,0.0006532454281114042,0.00043095985893160105,6.23527739662677e-05,0.00044540525414049625,0.0006735534407198429,0.0005137130501680076,0.0005798172205686569,0.00046235552872531116,0.000659538374748081,0.0005595738184638321,0.0003506109060253948,8.026846626307815e-05,0.0003908893559128046,0.0005644337506964803
24,0.0005843501421622932,0.0006493736291304231,0.000518644810654223,1e-04,0.0006428184569813311,0.0006500551244243979,0.00043970535625703633,6.334026693366468e-05,0.0004524076357483864,0.0006671077571809292,0.0005554660456255078,0.0006281425594352186,0.00048397117643617094,0.0006412974325940013,0.0006097131408751011,0.00039408294833265245,7.357885624514893e-05,0.0004076076438650489,0.0005618809955194592
25,0.0005567383486777544,0.0006263312534429133,0.0004921215586364269,1e-04,0.0006107416120357811,0.000616812554653734,0.00041300084558315575,5.93721961195115e-05,0.0004223738214932382,0.0006316028302535415,0.0005435687489807606,0.0006120912730693817,0.00047390421968884766,0.000618084566667676,0.0006077786674723029,0.00038058857899159193,6.330566247925162e-05,0.0003976131265517324,0.0005682031624019146
26,0.0005541354767046869,0.0006192557630129158,0.0004943700623698533,1e-04,0.0006140843033790588,0.0006194619345478714,0.00041317904833704233,6.401248538168147e-05,0.00043544155778363347,0.000635388947557658,0.0005557162221521139,0.0006079652230255306,0.00048132683150470257,0.0006413634982891381,0.0005982648581266403,0.0003773493517655879,5.6953671446535736e-05,0.0004235025553498417,0.0005894993082620203
27,0.0005322624929249287,0.0006070634117349982,0.00047897716285660863,1e-04,0.0005907121812924743,0.0006048544310033321,0.00039788667345419526,6.234723696252331e-05,0.00041363033233210444,0.0006230605067685246,0.0005430413875728846,0.0006023809546604753,0.0004728903586510569,0.0006230602157302201,0.0005989048513583839,0.0003776460071094334,6.093737465562299e-05,0.00039741009823046625,0.0005797419580630958
28,0.0005322858924046159,0.0006028391653671861,0.00047507337876595557,1e-04,0.0006061041494831443,0.0005973716033622622,0.0003934781125281006,6.029768701409921e-05,0.0003993542050011456,0.0006088574300520122,0.0005181889864616096,0.0005635764100588858,0.00044975909986533225,0.0006060871528461576,0.0005710192490369081,0.00035975020728074014,6.216250767465681e-05,0.0003689657023642212,0.0005483226850628853
29,0.0005194792756810784,0.0005792256561107934,0.0004640630504582077,1e-04,0.0005754719022661448,0.0005851408350281417,0.0003833377850241959,5.8236084441887215e-05,0.0004004815127700567,0.0006111336406320333,0.0004947162815369666,0.0005563925369642675,0.00044346004142425954,0.0006073269178159535,0.0005632810643874109,0.0003603370569180697,7.494809688068926e-05,0.00038107894943095744,0.0005095988744869828
30,0.0005022836267016828,0.0005683558410964906,0.0004485350800678134,1e-04,0.0005636161076836288,0.000567787152249366,0.0003712147590704262,5.7289438700536266e-05,0.0003823941224254668,0.0005753405275754631,0.0005026811850257218,0.000535211933311075,0.0004323808243498206,0.0005880790413357317,0.0005348994745872915,0.00034851135569624603,5.562777369050309e-05,0.0003735035425052047,0.0005205319612286985
31,0.00048220998723991215,0.0005568151827901602,0.00043585815001279116,1e-04,0.0005432756734080613,0.0005556594114750624,0.0003526705550029874,5.6073600717354566e-05,0.00037482980405911803,0.0005653288098983467,0.0005227436777204275,0.0005547452019527555,0.000453226180979982,0.0006351482588797808,0.0005577149568125606,0.0003589110274333507,5.260078614810482e-05,0.00040244293631985784,0.000541502726264298
32,0.000494799402076751,0.0005584401660598814,0.0004442507342901081,1e-04,0.0005625454941764474,0.0005598274292424321,0.00036644504871219397,5.850514935445972e-05,0.00038621455314569175,0.0005672274855896831,0.00048111702199094,0.000540297303814441,0.0004246261378284544,0.0005499665276147425,0.0005523636937141418,0.00035676630795933306,5.5812801292631775e-05,0.0003721099637914449,0.0004885751404799521
33,0.00047597757657058537,0.0005463946727104485,0.00042998421122319996,1e-04,0.0005532559589482844,0.000542672467418015,0.00034885131753981113,5.314942973200232e-05,0.0003692937607411295,0.0005502785788848996,0.0004965660045854747,0.0005463341949507594,0.00042903044959530234,0.0005399826914072037,0.0005457582883536816,0.000344457890605554,6.631798896705732e-05,0.0003761732077691704,0.0005166529444977641
34,0.00048337766202166677,0.0005420474335551262,0.0004337536811362952,1e-04,0.0005457521765492857,0.000536339997779578,0.00036420286050997674,5.179371146368794e-05,0.0003810269117821008,0.0005654883570969105,0.0004744215402752161,0.0005099239060655236,0.00040667084977030754,0.0005666579818353057,0.0004971786984242499,0.00033389340387657285,5.4679523600498214e-05,0.0003504575288388878,0.0004661541897803545
35,0.0004750777152366936,0.0005467549781315029,0.00042844514246098697,1e-04,0.0005472822231240571,0.0005416728090494871,0.00035533655318431556,5.378868809202686e-05,0.0003633755841292441,0.0005442738765850663,0.0004609570314642042,0.0005235760472714901,0.00041841616621240973,0.0005417530774138868,0.0005430470919236541,0.0003340870316606015,6.597969331778586e-05,0.0003772488562390208,0.0005006805877201259
36,0.0004663905128836632,0.0005294543807394803,0.00042068384937010705,1e-04,0.0005347183905541897,0.0005241863545961678,0.0003439972933847457,5.492276613949798e-05,0.00036820583045482635,0.0005435962812043726,0.00043955445289611816,0.0004962423699907959,0.0003855997638311237,0.0005268316599540412,0.0004771426320075989,0.0002929804613813758,5.891432738280855e-05,0.0003291444154456258,0.00046398775884881616
37,0.0004507624835241586,0.000512606929987669,0.00040444621117785573,1e-04,0.0005074340151622891,0.0005180550506338477,0.0003341286501381546,4.940723374602385e-05,0.0003465743793640286,0.0005166007322259247,0.00046643585665151477,0.00052247493294999,0.00041078118374571204,0.0005266846856102347,0.0005060277762822807,0.0003559958131518215,5.226655048318207e-05,0.0003429146308917552,0.0005134488455951214
38,0.0004745891783386469,0.000529981276486069,0.0004212906351312995,1e-04,0.0005344038945622742,0.0005312527646310627,0.00035286397906020284,5.074372893432155e-05,0.0003632743319030851,0.0005332160508260131,0.0004537064814940095,0.0005178884603083134,0.0004108103457838297,0.0005336538306437433,0.000502247188705951,0.0003308759769424796,5.74956284253858e-05,0.0003724831040017307,0.0005181318265385926
39,0.00044589454773813486,0.0005154192331247032,0.000407395331421867,1e-04,0.0005172009114176035,0.0005113511579111218,0.0003361561393830925,5.4303902288665995e-05,0.0003589837288018316,0.0005198539001867175,0.00041607889579609036,0.00048259421600960195,0.00037350523052737117,0.0005100923590362072,0.00045165978372097015,0.00030009052716195583,4.964029722032137e-05,0.00033046622411347926,0.0004474192392081022
40,0.000431182881584391,0.000484578893519938,0.0003881747543346137,1e-04,0.0005076475790701807,0.0004915420431643724,0.00031844567274674773,5.226612483966164e-05,0.0003286326536908746,0.000491101760417223,0.000417873467085883,0.0004779558221343905,0.00036742264637723565,0.0005112699582241476,0.00044828339014202356,0.000292737822746858,6.104493513703346e-05,0.00029776422888971865,0.0004324515466578305
41,0.0004426228697411716,0.000500065041705966,0.0003971000260207802,1e-04,0.0005054676439613104,0.0004996599745936692,0.00033219403121620417,4.8397410864708945e-05,0.00034636486088857055,0.0005020286189392209,0.0004359544545877725,0.0004847304953727871,0.0003994297294411808,0.0005646454519592226,0.0004965537809766829,0.0003363299183547497,6.225852848729119e-05,0.0003593617584556341,0.00045560329454019666
42,0.00043896480929106474,0.0004983715480193496,0.0003928849473595619,1e-04,0.0005090442136861384,0.0004950000438839197,0.00031399057479575276,5.022879850002937e-05,0.0003394527011550963,0.0004980280064046383,0.00041076025809161365,0.00046907257637940347,0.00036708181141875684,0.0004988997825421393,0.00048187992069870234,0.000293186167255044,4.8193414841080084e-05,0.0003086796496063471,0.00042598298750817776
43,0.0004412273701746017,0.000501550966873765,0.0003960627655033022,1e-04,0.0005028583691455424,0.0004957928322255611,0.0003262710524722934,4.7750669182278216e-05,0.00034832448000088334,0.0005047260783612728,0.000456156994914636,0.0005075749359093606,0.000400901073589921,0.0005517661920748651,0.0004949692520312965,0.00032455837936140597,5.936647721682675e-05,0.00036236297455616295,0.00045045342994853854
44,0.00041764919296838343,0.000483134004753083,0.0003818033146671951,1e-04,0.0004912114818580449,0.0004795998102054,0.00031796927214600146,5.159771899343468e-05,0.0003344888973515481,0.00047877419274300337,0.00045275987940840423,0.0004855735460296273,0.0003806299064308405,0.0005240680766291916,0.000464513897895813,0.00031232114997692406,4.9367536121280864e-05,0.00032355208531953394,0.0004328831855673343
45,0.00041682898881845176,0.0004694291565101594,0.0003739527892321348,1e-04,0.0004974580369889736,0.000470686296466738,0.00030360693926922977,4.543527029454708e-05,0.00031536229653283954,0.00047281570732593536,0.0004381512408144772,0.0004866461385972798,0.00039628875674679875,0.0005405975971370935,0.0004831765254493803,0.00032702001044526696,4.8598343710182235e-05,0.0003415154351387173,0.0005046043661423028
46,0.0004309209471102804,0.0004883169895038009,0.0003895487170666456,1e-04,0.0004966948763467371,0.0004809153324458748,0.00033155735582113266,4.998651274945587e-05,0.0003463314787950367,0.0004916673060506582,0.000481181574286893,0.0005156100960448384,0.00042303832015022635,0.0005298545002005994,0.0005155944381840527,0.00037855151458643377,5.377459092414938e-05,0.0004109022265765816,0.0004988379660062492
47,0.0004251844366081059,0.0004901962238363922,0.00038276531267911196,1e-04,0.0004948692512698472,0.0004856918822042644,0.00031770148780196905,4.65075827378314e-05,0.00032138809910975397,0.0004805849166586995,0.00040117395110428333,0.000451766507467255,0.0003653482999652624,0.0004941353108733892,0.00044885356328450143,0.00030167485238052905,4.884957161266357e-05,0.0003295094647910446,0.0004468228726182133
48,0.00041480493382550776,0.00046981233754195273,0.00037495314609259367,1e-04,0.0004799153539352119,0.0004723320889752358,0.00030778051586821675,4.5592467358801514e-05,0.0003285723505541682,0.00048081603017635643,0.0004025082744192332,0.00046352396020665765,0.0003691627935040742,0.0004947934648953378,0.0004653249925468117,0.0002970401255879551,4.512620944296941e-05,0.00032841390930116177,0.0004565710842143744
49,0.0004289234057068825,0.0004839779867324978,0.00038285431219264865,1e-04,0.0004988189321011305,0.000478036847198382,0.00031272522755898535,4.893876757705584e-05,0.00033235695445910096,0.000479057285701856,0.00043243978871032596,0.00048771206638775766,0.00037086434895172715,0.0005290894769132137,0.0004737773269880563,0.0002753836160991341,5.44476970389951e-05,0.00029658328276127577,0.0004174817295279354
50,0.0004128524160478264,0.00047535941121168435,0.0003787668829318136,1e-04,0.00048626508214510977,0.0004723749589174986,0.00031673291232436895,4.7904592065606266e-05,0.00033835668000392616,0.0004802883486263454,0.0003819327394012362,0.0004352741816546768,0.0003433370147831738,0.0004581922839861363,0.00043391308281570673,0.0002715069567784667,4.6825942263239995e-05,0.0003064944758079946,0.0004125562554690987
51,0.00040259023080579937,0.00046469777589663863,0.00036901506246067584,1e-04,0.0004707076004706323,0.0004621515399776399,0.00030506716575473547,5.0955066399183124e-05,0.000321992818498984,0.0004739580035675317,0.0004105420666746795,0.00046418822603300214,0.0003640318172983825,0.0005022691329941154,0.00044417244498617947,0.00027768214931711555,4.530396108748391e-05,0.00030700929346494377,0.000461087329313159
52,0.0003999468171969056,0.00045579715515486896,0.0003597300383262336,1e-04,0.00047801248729228973,0.00045127421617507935,0.000289340503513813,4.1834533476503566e-05,0.00031684766872785985,0.00044478700147010386,0.0003643530362751335,0.00044277889537625015,0.0003443292807787657,0.0004655314842239022,0.00042378221405670047,0.0002770568826235831,4.81368915643543e-05,0.00030441160197369754,0.00042858338565565646
53,0.00039062779978848994,0.00044659001287072897,0.0003576856106519699,1e-04,0.00046231289161369205,0.0004406356019899249,0.00029423710657283664,4.742122837342322e-05,0.00031783260055817664,0.0004618280509021133,0.000386035128030926,0.00045070325722917914,0.00034913941635750234,0.0004741881275549531,0.00042147532803937793,0.0002759808558039367,5.1338727644179016e-05,0.0003117903834208846,0.0004216035013087094
54,0.0003895925765391439,0.00046172141446731985,0.0003568455285858363,1e-04,0.0004674168594647199,0.00044662554864771664,0.000287908420432359,4.8393922043032944e-05,0.00030601301114074886,0.00044709176290780306,0.0004052913864143193,0.000456848181784153,0.0003566281229723245,0.0004665320157073438,0.0004478212504182011,0.0002981201687362045,4.202845229883678e-05,0.0003081792965531349,0.0004282043664716184
55,0.00036334016476757824,0.0004263931477908045,0.00033987441565841436,1e-04,0.000441963376943022,0.0004234525258652866,0.0002759725321084261,4.231447383062914e-05,0.00029516895301640034,0.0004503907694015652,0.0003965380310546607,0.0004680550191551447,0.0003566122322808951,0.00048174409312196076,0.0004297794948797673,0.0003096847503911704,4.585626084008254e-05,0.00030635297298431396,0.0004148870939388871
