epoch,loss,lr,val_loss
0,0.00019884450011886656,1e-04,0.0001804022176656872
1,0.00013466384552884847,1e-04,7.89287660154514e-05
2,6.763465353287756e-05,1e-04,7.833019481040537e-05
3,5.60659245820716e-05,1e-04,4.651896233553998e-05
4,4.999704833608121e-05,1e-04,4.048292976222001e-05
5,4.5646116632269695e-05,1e-04,3.9229122194228694e-05
6,4.0492705011274666e-05,1e-04,3.430264041526243e-05
7,3.788409230764955e-05,1e-04,3.158487379550934e-05
8,3.622935764724389e-05,1e-04,2.80763088085223e-05
9,3.2840158382896334e-05,1e-04,2.844905793608632e-05
10,3.216327240807004e-05,1e-04,2.7993100957246497e-05
11,3.0587121727876365e-05,1e-04,3.369814294273965e-05
12,2.9972507036291063e-05,1e-04,2.900539038819261e-05
13,2.864656016754452e-05,1e-04,2.5499019102426246e-05
14,2.637594661791809e-05,1e-04,2.1986215870128945e-05
15,2.5806391931837425e-05,1e-04,2.1290381482685916e-05
16,2.5231940526282415e-05,1e-04,1.988181975320913e-05
17,2.4766206479398534e-05,1e-04,1.941491791512817e-05
18,2.3633987439097837e-05,1e-04,2.1458463379531167e-05
19,2.287127063027583e-05,1e-04,2.224114359705709e-05
20,2.3648934075026773e-05,1e-04,1.7919210222316906e-05
21,2.1897798433201388e-05,1e-04,1.9243339920649305e-05
22,2.1910620489506982e-05,1e-04,1.8679369532037526e-05
23,2.165922342101112e-05,1e-04,1.9648115994641557e-05
24,2.1654670490534045e-05,1e-04,1.7201808077516034e-05
25,2.0612249500118196e-05,1e-04,1.819125100155361e-05
26,2.1096740965731442e-05,1e-04,1.7764907170203514e-05
27,2.0455247067729943e-05,1e-04,1.540794073662255e-05
28,2.0171055439277552e-05,1e-04,1.580356911290437e-05
29,1.9559203792596236e-05,1e-04,1.601191979716532e-05
30,2.003925692406483e-05,1e-04,1.501774568168912e-05
31,1.9469944163574837e-05,1e-04,1.5003281077952124e-05
32,1.8723152606980875e-05,1e-04,1.6125579350045882e-05
33,1.8914179236162454e-05,1e-04,1.7003028915496543e-05
34,1.857693678175565e-05,1e-04,1.708017589407973e-05
35,1.8545510101830587e-05,1e-04,1.3761954505753238e-05
36,1.7890000890474766e-05,1e-04,1.4650841876573395e-05
37,1.7678992662695237e-05,1e-04,1.488459838583367e-05
38,1.7663503967924044e-05,1e-04,1.6544354366487823e-05
39,1.7214670151588507e-05,1e-04,1.4464882951870095e-05
40,1.740475454425905e-05,1e-04,1.4356667634274345e-05
41,1.6806570783955976e-05,1e-04,1.5037029697850812e-05
42,1.7268626834265888e-05,1e-04,1.356311076960992e-05
43,1.6480535123264417e-05,1e-04,1.672711550781969e-05
44,1.6454690921818838e-05,1e-04,1.5136742149479687e-05
45,1.6279222109005786e-05,1e-04,1.3617403055832256e-05
46,1.6328402125509456e-05,1e-04,1.372838050883729e-05
47,1.5974916095728986e-05,1e-04,1.5808254829607904e-05
48,1.5685449398006313e-05,1e-04,1.2660694665100891e-05
49,1.62965170602547e-05,1e-04,1.4225576705939602e-05
50,1.58298498718068e-05,1e-04,1.3230307558842469e-05
51,1.552208050270565e-05,1e-04,1.4039894267625641e-05
52,1.5319175872718915e-05,1e-04,1.4121204912953544e-05
53,1.5558871382381767e-05,1e-04,1.3776439118373673e-05
54,1.5087453903106507e-05,1e-04,1.4268941413320135e-05
55,1.5044298379507381e-05,1e-04,1.3197868611314334e-05
56,1.5658091797376983e-05,1e-04,1.496278309787158e-05
57,1.5335801435867324e-05,1e-04,1.3512491022993345e-05
58,1.5050941328809131e-05,1e-04,1.3537341146729887e-05
59,1.4634262697654776e-05,1e-04,1.2633616279345006e-05
60,1.48206445373944e-05,1e-04,1.3956554539618082e-05
61,1.4285108591138851e-05,1e-04,1.2990809409529902e-05
62,1.4630444638896734e-05,1e-04,1.3594090887636412e-05
63,1.4357974578160793e-05,1e-04,1.4440028280660044e-05
64,1.4503378224617336e-05,1e-04,1.2574986612889916e-05
65,1.4302994713943917e-05,1e-04,1.3959465832158457e-05
66,1.4262261174735613e-05,1e-04,1.388533019053284e-05
67,1.3970944564789534e-05,1e-04,1.373623945255531e-05
68,1.404459817422321e-05,1e-04,1.2699145372607745e-05
69,1.3362317986320704e-05,5e-05,1.344142401649151e-05
70,1.303360204474302e-05,5e-05,1.306402737100143e-05
71,1.2726502063742373e-05,5e-05,1.2390829397190828e-05
72,1.3244551155366935e-05,5e-05,1.2859147318522446e-05
73,1.2821181371691637e-05,5e-05,1.2549689927254803e-05
74,1.2832825632358436e-05,5e-05,1.3827481780026574e-05
75,1.2800934200640768e-05,5e-05,1.2645823517232202e-05
76,1.2903849892609287e-05,5e-05,1.2846579011238646e-05
77,1.2691615665971767e-05,5e-05,1.2990858522243798e-05
78,1.2401575077092275e-05,5e-05,1.2487907952163368e-05
79,1.2493712347350083e-05,5e-05,1.2954858902958222e-05
80,1.2714823242276907e-05,5e-05,1.2478364624257665e-05
81,1.2589643120008986e-05,5e-05,1.3607364962808788e-05
82,1.2419472113833763e-05,5e-05,1.1099520634161308e-05
83,1.2594848158187233e-05,5e-05,1.2647478797589429e-05
84,1.2572333616844844e-05,5e-05,1.3654491340275854e-05
85,1.255510051123565e-05,5e-05,1.2160198821220547e-05
86,1.2383198736642953e-05,5e-05,1.273268753720913e-05
87,1.2647696166823152e-05,5e-05,1.2321188478381373e-05
88,1.2251633052073885e-05,5e-05,1.2385115041979589e-05
89,1.2161466656834818e-05,5e-05,1.2237459486641455e-05
90,1.2374637663015164e-05,5e-05,1.146931026596576e-05
91,1.205550415761536e-05,5e-05,1.3900850717618596e-05
92,1.241229438164737e-05,5e-05,1.2401267667883076e-05
93,1.2292883184272796e-05,5e-05,1.2078222425770946e-05
94,1.2341324691078626e-05,5e-05,1.2747351320285816e-05
95,1.2065571354469284e-05,5e-05,1.2082315151928924e-05
96,1.2050125405949075e-05,5e-05,1.2988582966499962e-05
97,1.193176103697624e-05,5e-05,1.0189274689764716e-05
98,1.1994943633908406e-05,5e-05,1.2708575923170429e-05
99,1.2095839338144287e-05,5e-05,1.2708731446764432e-05
100,1.205958778882632e-05,5e-05,1.2313021215959452e-05
101,1.1810624528152402e-05,5e-05,1.37810184241971e-05
102,1.2076917300873902e-05,5e-05,1.233583316206932e-05
103,1.1670965250232257e-05,2.5e-05,1.135740149038611e-05
104,1.1529957191669382e-05,2.5e-05,1.2511683962657116e-05
105,1.1425174307078123e-05,2.5e-05,1.2363694622763433e-05
106,1.1534206350916065e-05,2.5e-05,1.3173937986721285e-05
107,1.1752118552976754e-05,2.5e-05,1.2035129657306243e-05
108,1.1454563718871213e-05,2.5e-05,1.1727166565833613e-05
109,1.1207373063371051e-05,2.5e-05,1.2152539056842215e-05
110,1.1576614269870333e-05,2.5e-05,1.2118669474148192e-05
111,1.1190729310328607e-05,2.5e-05,1.1993317457381636e-05
112,1.1260167411819566e-05,2.5e-05,1.0826086509041488e-05
113,1.136767696152674e-05,2.5e-05,1.2148831956437789e-05
114,1.1309398360026535e-05,2.5e-05,1.125398284784751e-05
115,1.1418668691476341e-05,2.5e-05,1.2598860848811455e-05
116,1.103990143747069e-05,2.5e-05,1.3222595953266136e-05
117,1.1293936950096395e-05,2.5e-05,1.1832410564238671e-05
118,1.0981152627209667e-05,2.5e-05,1.2239184798090719e-05
119,1.1133056432299782e-05,2.5e-05,1.1992151485173963e-05
120,1.1086181075370405e-05,2.5e-05,1.3407945516519248e-05
121,1.1078174793510698e-05,2.5e-05,1.2873121704615187e-05
122,1.1097099559265189e-05,2.5e-05,1.1470915524114389e-05
123,1.114762471843278e-05,2.5e-05,1.235344370797975e-05
124,1.1266067303949967e-05,2.5e-05,1.2980807696294505e-05
125,1.0728626875788905e-05,1.25e-05,1.1048749911424238e-05
126,1.0997393474099226e-05,1.25e-05,1.2263764801900834e-05
127,1.1224667105125263e-05,1.25e-05,1.3206794392317533e-05
